test_image,response,resptime,r/g/b, q, expected, category, size (in Bytes)
protrait-man,1,1.690025,r,64,False,ausgeglichen,929575
sunflower,2,2.41399,g,64,True,dominant,1524907
chameleon,5,7.036568,g,8,True,dominant,1674493
chameleon,5,2.829078,r,8,False,dominant,1656610
sunflower,5,2.08901,r,2,True,dominant,1794731
chameleon,5,2.49525,b,2,False,dominant,1770933
chameleon,5,2.102109,r,2,False,dominant,1774469
colorful-flowers,5,4.16329,r,16,True,bunt,1798205
landscape-mountains-1,2,10.228195,g,16,True,bunt,1802081
landscape-mountains-1,1,1.541572,g,32,True,bunt,1743767
women-portrait,3,14.671259,b,32,False,dominant,1451947
buildings-1,2,2.178527,r,8,True,bunt,1613539
parrot-1,1,2.373227,g,32,False,dominant,1316312
parrot-1,2,6.57041,r,8,True,dominant,1378776
chameleon,4,7.434369,r,16,False,dominant,1602827
protrait-man,2,8.709988,r,2,False,ausgeglichen,1102650
landscape-mountains-1,1,1.366483,g,64,True,bunt,1693941
landscape-mountains-1,5,5.317379,r,8,False,bunt,1825728
parrot-1,4,23.241725,b,16,False,dominant,1326265
women-portrait-blue,3,7.357988,b,16,True,dominant,1470592
women-portrait,1,3.602462,g,32,False,dominant,1478226
chameleon,4,7.125264,b,8,False,dominant,1636571
women-portrait-blue,2,6.686587,b,64,True,dominant,1379057
women-portrait-blue,2,0.961532,g,16,False,dominant,1494707
protrait-man,1,3.361698,g,16,False,ausgeglichen,1021255
protrait-man,4,6.457417,b,8,False,ausgeglichen,1019660
women-portrait,4,1.912623,g,2,False,dominant,1686824
colorful-flowers,2,5.03911,g,32,True,bunt,1745745
sunflower,2,1.641332,r,32,True,dominant,1563355
chameleon,4,5.610851,b,32,False,dominant,1526202
parrot-1,1,3.19435,g,16,False,dominant,1361433
chameleon,1,4.033918,r,64,False,dominant,1501954
women-portrait-blue,3,6.907539,b,2,True,dominant,1622899
colorful-flowers,4,18.955166,b,2,True,bunt,1948480
women-portrait,5,2.191904,r,8,True,dominant,1548721
parrot-1,4,4.263335,b,2,False,dominant,1474967
parrot-1,4,0.583859,r,2,True,dominant,1476590
buildings-1,3,7.510254,g,2,False,bunt,1742597
protrait-man,4,6.960626,b,2,False,ausgeglichen,1098420
sunflower,3,4.579712,b,32,False,dominant,1519261
boy,1,1.491746,b,64,True,ausgeglichen,1667838
boy,3,3.546831,b,16,True,ausgeglichen,1788808
buildings-1,1,1.516158,b,32,True,bunt,1512992
landscape-mountains-1,2,3.622563,b,32,True,bunt,1719559
landscape-mountains-1,2,5.227939,r,16,False,bunt,1760551
protrait-man,1,1.123678,g,64,False,ausgeglichen,954435
women-portrait,5,11.070576,g,8,False,dominant,1593928
women-portrait,4,2.055028,r,16,True,dominant,1489510
